# Vocabulary people actually reach for when describing a scene.
#
# Derived from the VATEX dataset (Wang et al., ICCV 2019) — 30,000 human
# descriptions of 3,000 video clips, counted and filtered to words our CEFR
# table can rate. VATEX is CC BY 4.0: https://eric-xw.github.io/vatex-website
#
# Used for Scene Description Challenge hints. Frequency is the count across
# those descriptions, so rank 1 is the word humans used most when asked to
# describe what they saw — not general English frequency.
word,cefr,frequency
man,A1,8707
person,A2,4139
woman,A1,4131
people,A1,2882
young,A1,2704
two,A1,2538
boy,A1,2231
playing,A1,2192
girl,A1,2051
group,A2,1774
using,A1,1534
another,A2,1266
sitting,A1,1235
music,A2,1130
someone,A1,1118
little,A1,1062
baby,A1,1021
water,A1,965
large,A2,928
ball,A1,895
plays,A1,864
front,A1,863
small,A1,858
standing,A1,818
child,A1,812
holding,A2,788
talking,A1,788
room,A1,785
floor,A1,783
hands,A1,735
table,A2,726
hand,A1,717
showing,A1,714
outside,A1,713
hair,A1,708
wearing,A1,685
dancing,A1,648
piece,A2,648
game,A2,641
dance,A1,619
uses,A1,613
snow,A1,567
guy,A1,559
riding,B1,559
camera,A1,558
together,A2,545
play,A1,539
machine,A1,533
through,A2,531
gym,B1,515
several,A2,514
background,A2,504
field,A2,498
car,A1,479
head,A1,473
demonstrating,B1,470
paper,A2,466
stage,A1,459
white,A1,458
something,A1,444
face,A2,441
shows,A1,433
girls,A1,432
kids,A1,428
demonstrates,B1,419
making,A1,414
boys,A1,413
wall,A2,402
ground,A2,398
trying,A1,396
board,A1,393
make,A1,392
sits,A1,391
crowd,A2,388
inside,A2,385
stands,A1,382
top,A2,381
different,A2,372
across,A2,369
lady,A1,367
pool,A1,366
throws,A1,366
walking,A1,364
kid,A1,363
black,A1,360
holds,A2,354
talks,A1,352
chair,A1,348
wood,A2,347
ice,A1,342
dog,A1,342
red,A1,340
side,A2,336
three,A1,330
kitchen,A1,330
long,A1,327
putting,A1,325
bed,A1,324
others,A1,319
watching,A1,317
rope,A2,311
shirt,A1,305
tree,A1,304
jumps,A1,304
walks,A1,304
food,A1,303
throwing,A1,292
getting,A1,290
eating,A1,285
moves,A2,284
air,A2,283
performing,B1,279
metal,A2,279
jumping,A1,279
takes,A1,276
behind,A1,274
laying,B1,274
watch,A1,273
basketball,A1,273
runs,A1,271
knife,A1,271
mouth,A1,269
bottle,A1,269
couple,A2,268
