# IPA pronunciations, derived from CMUdict.
#
# SOURCE: github.com/cmusphinx/cmudict — public domain (BSD-style, no
# restriction on use). General American.
#
# Converted from ARPABET by services/arpabet.py. The conversion is
# mechanical except for syllable stress: IPA marks the start of the
# stressed syllable while ARPABET marks the stressed vowel, so the
# boundary is worked out with the maximal onset principle. Marking the
# vowel instead would give /sɛˈʃən/ for 'session'.
#
# Only the first pronunciation of each word is kept. CMUdict lists
# alternatives as 'record(2)'; a learner needs one, not a survey.
#
# This closes the gap WordNet leaves: it has definitions but no
# phonetics, and the online dictionary was the only source of IPA.
word,ipa
a,ə
a's,eɪz
a.,eɪ
a.'s,eɪz
a.d.,ˌeɪˈdi
a.m.,ˌeɪˈɛm
a.s,eɪz
aaa,ˌtɹɪpəˈleɪ
aaberg,ˈɑbɚɡ
aachen,ˈɑkən
aachener,ˈɑkənɚ
aaker,ˈɑkɚ
aalborg,ˈɔlbɔɹɡ
aalburg,ˈælbɚɡ
aalen,ˈælən
aaliyah,ˌɑˈliˌɑ
aalseth,ˈɑlsɛθ
aalsmeer,ˈɑlsmɪɹ
aalto,ˈɑlˌtoʊ
aamodt,ˈɑmət
aancor,ˈɑnˌkɔɹ
aardema,ɑɹˈdɛmə
aardvark,ˈɑɹdˌvɑɹk
aardvarks,ˈɑɹdˌvɑɹks
aargh,ɑɹɡ
aarhus,ˌɑˈhus
aaron,ˈɛɹən
aaron's,ˈɛɹənz
aarons,ˈɛɹənz
aaronson,ˈɛɹənsən
aaronson's,ˈɛɹənsənz
aarti,ˈɑɹˌti
aase,ɑs
aasen,ˈɑsən
ab,æb
aba,ˌeɪˌbiˈeɪ
ababa,əˈbɑbə
abacha,ˈæbəkə
aback,əˈbæk
abaco,ˈæbəˌkoʊ
abacus,ˈæbəkəs
abad,əˈbɑd
abadaka,əˈbædəkə
abadi,əˈbædi
abadie,əˈbædi
abair,əˈbɛɹ
abalkin,əˈbɑlkɪn
abalone,ˌæbəˈloʊni
abalones,ˌæbəˈloʊniz
abalos,ɑˈbɑloʊz
abandon,əˈbændən
abandoned,əˈbændənd
abandoning,əˈbændənɪŋ
abandonment,əˈbændənmənt
abandonments,əˈbændənmənts
abandons,əˈbændənz
abanto,əˈbæntoʊ
abarca,əˈbɑɹkə
abare,ɑˈbɑɹi
abascal,ˈæbəskəl
