# FluencyOS CEFR wordlist — Phase 6 (difficulty heat, word lookup, leveling).
#
# LICENCE: this file is original to this project. Several widely-cited CEFR
# wordlists (EVP, Kelly, CEFR-J) are NOT redistributable, so rather than
# vendoring one, this is the fallback the plan calls for: a frequency-band
# approximation, hand-checked, covering the bands that actually matter to the
# reader. It is a reading aid, not an authoritative grading of English.
#
# Coverage is deliberately asymmetric. A1-B1 entries exist so that ordinary
# words are known-easy and never tint; B2-C2 entries carry the full payload
# (simpler synonym, definition, example) because those are the words the heat
# overlay marks and the lookup panel explains.
#
# An unknown word is treated as unrated, NOT as above-level: a missing hard
# word simply fails to tint, which is far less damaging than tinting every
# ordinary word on the page.
#
# columns: lemma,cefr,pos,simpler,definition,example,synonyms
lemma,cefr,pos,simpler,definition,example,synonyms
a,A1,determiner,,,,
about,A1,preposition,,,,
after,A1,preposition,,,,
again,A1,adverb,,,,
all,A1,determiner,,,,
also,A1,adverb,,,,
and,A1,conjunction,,,,
animal,A1,noun,,,,
answer,A1,noun,,,,
any,A1,determiner,,,,
ask,A1,verb,,,,
back,A1,noun,,,,
bad,A1,adjective,,,,
be,A1,verb,,,,
because,A1,conjunction,,,,
before,A1,preposition,,,,
begin,A1,verb,,,,
big,A1,adjective,,,,
book,A1,noun,,,,
boy,A1,noun,,,,
but,A1,conjunction,,,,
buy,A1,verb,,,,
call,A1,verb,,,,
can,A1,verb,,,,
car,A1,noun,,,,
child,A1,noun,,,,
city,A1,noun,,,,
close,A1,verb,,,,
cold,A1,adjective,,,,
come,A1,verb,,,,
country,A1,noun,,,,
day,A1,noun,,,,
do,A1,verb,,,,
door,A1,noun,,,,
down,A1,adverb,,,,
drink,A1,verb,,,,
eat,A1,verb,,,,
end,A1,noun,,,,
every,A1,determiner,,,,
eye,A1,noun,,,,
family,A1,noun,,,,
far,A1,adverb,,,,
father,A1,noun,,,,
find,A1,verb,,,,
first,A1,adjective,,,,
food,A1,noun,,,,
for,A1,preposition,,,,
friend,A1,noun,,,,
from,A1,preposition,,,,
get,A1,verb,,,,
girl,A1,noun,,,,
give,A1,verb,,,,
go,A1,verb,,,,
good,A1,adjective,,,,
great,A1,adjective,,,,
hand,A1,noun,,,,
happy,A1,adjective,,,,
have,A1,verb,,,,
he,A1,pronoun,,,,
head,A1,noun,,,,
hear,A1,verb,,,,
help,A1,verb,,,,
here,A1,adverb,,,,
home,A1,noun,,,,
house,A1,noun,,,,
how,A1,adverb,,,,
if,A1,conjunction,,,,
in,A1,preposition,,,,
it,A1,pronoun,,,,
know,A1,verb,,,,
last,A1,adjective,,,,
leave,A1,verb,,,,
left,A1,adjective,,,,
life,A1,noun,,,,
light,A1,noun,,,,
like,A1,verb,,,,
little,A1,adjective,,,,
live,A1,verb,,,,
long,A1,adjective,,,,
look,A1,verb,,,,
love,A1,verb,,,,
make,A1,verb,,,,
man,A1,noun,,,,
many,A1,determiner,,,,
me,A1,pronoun,,,,
money,A1,noun,,,,
month,A1,noun,,,,
morning,A1,noun,,,,
mother,A1,noun,,,,
name,A1,noun,,,,
new,A1,adjective,,,,
next,A1,adjective,,,,
night,A1,noun,,,,
no,A1,determiner,,,,
not,A1,adverb,,,,
now,A1,adverb,,,,
of,A1,preposition,,,,
off,A1,adverb,,,,
old,A1,adjective,,,,
on,A1,preposition,,,,
one,A1,number,,,,
only,A1,adverb,,,,
open,A1,verb,,,,
or,A1,conjunction,,,,
other,A1,adjective,,,,
out,A1,adverb,,,,
over,A1,preposition,,,,
people,A1,noun,,,,
place,A1,noun,,,,
play,A1,verb,,,,
put,A1,verb,,,,
read,A1,verb,,,,
right,A1,adjective,,,,
room,A1,noun,,,,
run,A1,verb,,,,
same,A1,adjective,,,,
say,A1,verb,,,,
school,A1,noun,,,,
see,A1,verb,,,,
she,A1,pronoun,,,,
short,A1,adjective,,,,
show,A1,verb,,,,
sit,A1,verb,,,,
sleep,A1,verb,,,,
small,A1,adjective,,,,
so,A1,adverb,,,,
some,A1,determiner,,,,
speak,A1,verb,,,,
stand,A1,verb,,,,
start,A1,verb,,,,
stop,A1,verb,,,,
take,A1,verb,,,,
talk,A1,verb,,,,
tell,A1,verb,,,,
than,A1,conjunction,,,,
that,A1,determiner,,,,
the,A1,determiner,,,,
then,A1,adverb,,,,
there,A1,adverb,,,,
they,A1,pronoun,,,,
thing,A1,noun,,,,
think,A1,verb,,,,
this,A1,determiner,,,,
time,A1,noun,,,,
to,A1,preposition,,,,
today,A1,adverb,,,,
tree,A1,noun,,,,
try,A1,verb,,,,
turn,A1,verb,,,,
under,A1,preposition,,,,
up,A1,adverb,,,,
use,A1,verb,,,,
very,A1,adverb,,,,
walk,A1,verb,,,,
want,A1,verb,,,,
watch,A1,verb,,,,
water,A1,noun,,,,
way,A1,noun,,,,
we,A1,pronoun,,,,
week,A1,noun,,,,
well,A1,adverb,,,,
what,A1,pronoun,,,,
when,A1,adverb,,,,
where,A1,adverb,,,,
which,A1,pronoun,,,,
who,A1,pronoun,,,,
why,A1,adverb,,,,
window,A1,noun,,,,
with,A1,preposition,,,,
woman,A1,noun,,,,
word,A1,noun,,,,
work,A1,verb,,,,
world,A1,noun,,,,
write,A1,verb,,,,
year,A1,noun,,,,
yes,A1,adverb,,,,
you,A1,pronoun,,,,
young,A1,adjective,,,,
able,A2,adjective,,,,
above,A2,preposition,,,,
accept,A2,verb,,,,
across,A2,preposition,,,,
actually,A2,adverb,,,,
add,A2,verb,,,,
afraid,A2,adjective,,,,
against,A2,preposition,,,,
age,A2,noun,,,,
ago,A2,adverb,,,,
agree,A2,verb,,,,
air,A2,noun,,,,
almost,A2,adverb,,,,
alone,A2,adjective,,,,
along,A2,preposition,,,,
already,A2,adverb,,,,
always,A2,adverb,,,,
among,A2,preposition,,,,
another,A2,determiner,,,,
appear,A2,verb,,,,
area,A2,noun,,,,
arm,A2,noun,,,,
around,A2,preposition,,,,
arrive,A2,verb,,,,
believe,A2,verb,,,,
below,A2,preposition,,,,
best,A2,adjective,,,,
better,A2,adjective,,,,
between,A2,preposition,,,,
body,A2,noun,,,,
both,A2,determiner,,,,
break,A2,verb,,,,
bring,A2,verb,,,,
build,A2,verb,,,,
business,A2,noun,,,,
carry,A2,verb,,,,
case,A2,noun,,,,
catch,A2,verb,,,,
cause,A2,verb,,,,
centre,A2,noun,,,,
certain,A2,adjective,,,,
chance,A2,noun,,,,
change,A2,verb,,,,
choose,A2,verb,,,,
clear,A2,adjective,,,,
company,A2,noun,,,,
complete,A2,verb,,,,
continue,A2,verb,,,,
cost,A2,noun,,,,
course,A2,noun,,,,
cover,A2,verb,,,,
create,A2,verb,,,,
cut,A2,verb,,,,
dark,A2,adjective,,,,
dead,A2,adjective,,,,
deal,A2,verb,,,,
decide,A2,verb,,,,
deep,A2,adjective,,,,
describe,A2,verb,,,,
develop,A2,verb,,,,
die,A2,verb,,,,
difference,A2,noun,,,,
different,A2,adjective,,,,
difficult,A2,adjective,,,,
direct,A2,adjective,,,,
during,A2,preposition,,,,
early,A2,adverb,,,,
earth,A2,noun,,,,
easy,A2,adjective,,,,
edge,A2,noun,,,,
effect,A2,noun,,,,
either,A2,determiner,,,,
enough,A2,determiner,,,,
enter,A2,verb,,,,
even,A2,adverb,,,,
ever,A2,adverb,,,,
example,A2,noun,,,,
expect,A2,verb,,,,
experience,A2,noun,,,,
explain,A2,verb,,,,
face,A2,noun,,,,
fact,A2,noun,,,,
fall,A2,verb,,,,
fast,A2,adjective,,,,
feel,A2,verb,,,,
few,A2,determiner,,,,
field,A2,noun,,,,
fill,A2,verb,,,,
finally,A2,adverb,,,,
follow,A2,verb,,,,
force,A2,noun,,,,
forget,A2,verb,,,,
form,A2,noun,,,,
free,A2,adjective,,,,
full,A2,adjective,,,,
future,A2,noun,,,,
game,A2,noun,,,,
general,A2,adjective,,,,
government,A2,noun,,,,
ground,A2,noun,,,,
group,A2,noun,,,,
grow,A2,verb,,,,
guess,A2,verb,,,,
half,A2,noun,,,,
hard,A2,adjective,,,,
heart,A2,noun,,,,
heavy,A2,adjective,,,,
high,A2,adjective,,,,
history,A2,noun,,,,
hold,A2,verb,,,,
hope,A2,verb,,,,
hour,A2,noun,,,,
however,A2,adverb,,,,
idea,A2,noun,,,,
important,A2,adjective,,,,
include,A2,verb,,,,
increase,A2,verb,,,,
inside,A2,preposition,,,,
instead,A2,adverb,,,,
interest,A2,noun,,,,
job,A2,noun,,,,
keep,A2,verb,,,,
kind,A2,noun,,,,
land,A2,noun,,,,
language,A2,noun,,,,
large,A2,adjective,,,,
late,A2,adjective,,,,
lead,A2,verb,,,,
learn,A2,verb,,,,
less,A2,determiner,,,,
letter,A2,noun,,,,
level,A2,noun,,,,
line,A2,noun,,,,
list,A2,noun,,,,
lose,A2,verb,,,,
low,A2,adjective,,,,
main,A2,adjective,,,,
mark,A2,noun,,,,
matter,A2,noun,,,,
mean,A2,verb,,,,
meet,A2,verb,,,,
member,A2,noun,,,,
mind,A2,noun,,,,
minute,A2,noun,,,,
moment,A2,noun,,,,
more,A2,determiner,,,,
most,A2,determiner,,,,
move,A2,verb,,,,
much,A2,determiner,,,,
music,A2,noun,,,,
must,A2,verb,,,,
near,A2,preposition,,,,
need,A2,verb,,,,
never,A2,adverb,,,,
news,A2,noun,,,,
nothing,A2,pronoun,,,,
notice,A2,verb,,,,
number,A2,noun,,,,
often,A2,adverb,,,,
